Site Id,Name,Met_Office_Id,Latitude,Longitude,Elevation
48adc052-701d-e811-a6d2-9cb6d0e28a40,JIJEL-PORT,60353,36.816667,5.883333,6
8986fc58-701d-e811-a6d2-9cb6d0e28a40,SKIKDA,60355,36.883333,6.9,3
8c86fc58-701d-e811-a6d2-9cb6d0e28a40,ANNABA,60360,36.833333,7.816667,8
8f86fc58-701d-e811-a6d2-9cb6d0e28a40,TARF,60368,36.75,8.083333,4
9286fc58-701d-e811-a6d2-9cb6d0e28a40,ALGER-PORT,60369,36.766667,3.1,12
9586fc58-701d-e811-a6d2-9cb6d0e28a40,KOUBA,60370,36.716667,3.1,0
9886fc58-701d-e811-a6d2-9cb6d0e28a40,OUED KORICHE,60371,36.783333,3.033333,0
9b86fc58-701d-e811-a6d2-9cb6d0e28a40,BOUZAREAH,60372,36.783333,3,0
9e86fc58-701d-e811-a6d2-9cb6d0e28a40,AIN BENAIN,60374,36.783333,2.883333,0
a186fc58-701d-e811-a6d2-9cb6d0e28a40,BORDJ EL BAHRI,60376,36.783333,3.25,0
a486fc58-701d-e811-a6d2-9cb6d0e28a40,REGHAIA,60379,36.766667,3.333333,0
2cfb345f-701d-e811-a6d2-9cb6d0e28a40,TESSALA EL MERDJA,60380,36.616667,2.916667,0
2ffb345f-701d-e811-a6d2-9cb6d0e28a40,EL HARRACH,60381,36.716667,3.15,51
32fb345f-701d-e811-a6d2-9cb6d0e28a40,DAR-EL-BEIDA,60390,36.683333,3.216667,29
35fb345f-701d-e811-a6d2-9cb6d0e28a40,DAR EL BEIDA VILLE,60393,36.7,3.2,0
38fb345f-701d-e811-a6d2-9cb6d0e28a40,BARAKI,60394,36.683333,3.1,0
3bfb345f-701d-e811-a6d2-9cb6d0e28a40,TIZI-OUZOU,60395,36.7,4.133333,154
3efb345f-701d-e811-a6d2-9cb6d0e28a40,BEJAIA-AEROPORT,60402,36.716667,5.066667,7
41fb345f-701d-e811-a6d2-9cb6d0e28a40,GUELMA,60403,36.466667,7.466667,228
44fb345f-701d-e811-a6d2-9cb6d0e28a40,TENES,60410,36.5,1.333333,18
47fb345f-701d-e811-a6d2-9cb6d0e28a40,AIN-BESSAM,60415,36.283333,3.666667,752
b0386a65-701d-e811-a6d2-9cb6d0e28a40,CONSTANTINE,60419,36.283333,6.616667,692
b3386a65-701d-e811-a6d2-9cb6d0e28a40,OUM EL BOUAGHI,60421,35.866667,7.116667,891
b6386a65-701d-e811-a6d2-9cb6d0e28a40,SOUK AHRAS,60423,36.25,7.95,831
b9386a65-701d-e811-a6d2-9cb6d0e28a40,CHLEF,60425,36.216667,1.333333,163
bc386a65-701d-e811-a6d2-9cb6d0e28a40,MILIANA,60430,36.3,2.233333,721
bf386a65-701d-e811-a6d2-9cb6d0e28a40,MEDEA,60437,36.283333,2.733333,1036
c2386a65-701d-e811-a6d2-9cb6d0e28a40,BORDJ-BOU-ARRERIDJ,60444,36.066667,4.666667,957
c5386a65-701d-e811-a6d2-9cb6d0e28a40,SETIF AIN ARNAT,60445,36.166667,5.316667,1015
c8386a65-701d-e811-a6d2-9cb6d0e28a40,ARZEW,60452,35.816667,NaN,4
cb386a65-701d-e811-a6d2-9cb6d0e28a40,MOSTAGANEM,60457,35.883333,NaN,141
5de9b56b-701d-e811-a6d2-9cb6d0e28a40,ORAN-PORT,60461,35.7,NaN,22
60e9b56b-701d-e811-a6d2-9cb6d0e28a40,M'SILA,60467,35.666667,4.5,442
63e9b56b-701d-e811-a6d2-9cb6d0e28a40,BATNA,60468,35.75,6.316667,826
66e9b56b-701d-e811-a6d2-9cb6d0e28a40,TEBESSA,60475,35.466667,8.116667,820
69e9b56b-701d-e811-a6d2-9cb6d0e28a40,KHENCHELLA,60476,35.466667,7.083333,987
6ce9b56b-701d-e811-a6d2-9cb6d0e28a40,ORAN-SENIA,60490,35.633333,NaN,91
6fe9b56b-701d-e811-a6d2-9cb6d0e28a40,RELIZANE,60492,35.75,NaN,96
72e9b56b-701d-e811-a6d2-9cb6d0e28a40,MASCARA-GHRISS,60507,35.35,NaN,513
75e9b56b-701d-e811-a6d2-9cb6d0e28a40,TIARET,60511,35.35,1.466667,978
78e9b56b-701d-e811-a6d2-9cb6d0e28a40,KSAR CHELLALA,60514,35.166667,2.316667,800
1aa7fd71-701d-e811-a6d2-9cb6d0e28a40,BOU-SAADA,60515,35.333333,4.2,461
1da7fd71-701d-e811-a6d2-9cb6d0e28a40,GHAZAOUET,60517,35.1,-1.866667,5
20a7fd71-701d-e811-a6d2-9cb6d0e28a40,BENI-SAF,60518,35.3,-1.35,70
23a7fd71-701d-e811-a6d2-9cb6d0e28a40,SIDI-BEL-ABBES,60520,35.2,NaN,476
26a7fd71-701d-e811-a6d2-9cb6d0e28a40,MAGHNIA,60522,34.816667,-1.783333,428
29a7fd71-701d-e811-a6d2-9cb6d0e28a40,BISKRA,60525,34.8,5.733333,89
2ca7fd71-701d-e811-a6d2-9cb6d0e28a40,TLEMCEN-ZENATA,60531,35.016667,-1.466667,247
2fa7fd71-701d-e811-a6d2-9cb6d0e28a40,DJELFA,60535,33.15,3.383333,1185
32a7fd71-701d-e811-a6d2-9cb6d0e28a40,SAIDA,60536,34.866667,NaN,752
63390078-701d-e811-a6d2-9cb6d0e28a40,EL-KHEITER,60540,34.15,NaN,1001
66390078-701d-e811-a6d2-9cb6d0e28a40,MECHERIA,60549,33.533333,NaN,1124
69390078-701d-e811-a6d2-9cb6d0e28a40,EL-BAYADH,60550,33.716667,1.083333,1347
6c390078-701d-e811-a6d2-9cb6d0e28a40,TOUGGOURT,60555,33.066667,6.083333,92
6f390078-701d-e811-a6d2-9cb6d0e28a40,NAAMA,60557,33.266667,NaN,1167
72390078-701d-e811-a6d2-9cb6d0e28a40,EL-OUED,60559,33.5,6.783333,69
75390078-701d-e811-a6d2-9cb6d0e28a40,AIN-SEFRA,60560,32.766667,NaN,1065
78390078-701d-e811-a6d2-9cb6d0e28a40,HASSIR'MEL,60563,32.933333,3.3,769
7b390078-701d-e811-a6d2-9cb6d0e28a40,GHARDAIA,60566,32.4,3.8,469
7e390078-701d-e811-a6d2-9cb6d0e28a40,BECHAR,60571,31.5,-2.25,816
4c9e4c7e-701d-e811-a6d2-9cb6d0e28a40,OUARGLA,60580,31.933333,5.4,148
4f9e4c7e-701d-e811-a6d2-9cb6d0e28a40,HASSI-MESSAOUD,60581,31.666667,6.15,146
529e4c7e-701d-e811-a6d2-9cb6d0e28a40,KRECHBA,60585,29.073056,2.209167,0
559e4c7e-701d-e811-a6d2-9cb6d0e28a40,EL-GOLEA,60590,30.566667,2.866667,403
589e4c7e-701d-e811-a6d2-9cb6d0e28a40,HASSI KHEBBI,60593,29.166667,-5.233333,565
5b9e4c7e-701d-e811-a6d2-9cb6d0e28a40,TALMINIE,60595,29.166667,NaN,0
5e9e4c7e-701d-e811-a6d2-9cb6d0e28a40,BENI-ABBES,60602,30.133333,-2.166667,505
619e4c7e-701d-e811-a6d2-9cb6d0e28a40,RHOURD NOUSS,60603,29.716667,6.7,252
649e4c7e-701d-e811-a6d2-9cb6d0e28a40,TABELBALA,60605,29.416667,-3.25,550
679e4c7e-701d-e811-a6d2-9cb6d0e28a40,TIMIMOUN,60607,29.25,NaN,317
57e29d84-701d-e811-a6d2-9cb6d0e28a40,IN-AMENAS,60611,28.05,9.633333,562
5ae29d84-701d-e811-a6d2-9cb6d0e28a40,TIRIRINE,60612,22.05,8.583333,770
5de29d84-701d-e811-a6d2-9cb6d0e28a40,OUHANET,60613,28.7,8.933333,610
60e29d84-701d-e811-a6d2-9cb6d0e28a40,TAGUENTOUR,60619,28.466667,2.516667,636
63e29d84-701d-e811-a6d2-9cb6d0e28a40,ADRAR,60620,27.816667,NaN,283
66e29d84-701d-e811-a6d2-9cb6d0e28a40,MATRIOUENE,60621,27.866667,1.166667,390
69e29d84-701d-e811-a6d2-9cb6d0e28a40,ADEB LERRACH,60623,27.4,8.833333,0
6ce29d84-701d-e811-a6d2-9cb6d0e28a40,GARADJEBILET,60624,26.75,-7.25,400
6fe29d84-701d-e811-a6d2-9cb6d0e28a40,IN-SALAH,60630,27.233333,2.5,269
72e29d84-701d-e811-a6d2-9cb6d0e28a40,TINFOUYE,60639,28.433333,7.55,471
d393e38a-701d-e811-a6d2-9cb6d0e28a40,ILLIZI,60640,26.5,8.416667,541
d693e38a-701d-e811-a6d2-9cb6d0e28a40,REGGANE,60645,26.716667,NaN,214
d993e38a-701d-e811-a6d2-9cb6d0e28a40,AMGUID,60650,26.416667,5.366667,614
dc93e38a-701d-e811-a6d2-9cb6d0e28a40,TINDOUF,60656,27.7,-8.166667,449
df93e38a-701d-e811-a6d2-9cb6d0e28a40,ARAK (60660-0),60660,25.266667,3.733333,556
e293e38a-701d-e811-a6d2-9cb6d0e28a40,ABDENNIZI,60661,25.216667,5.116667,800
e593e38a-701d-e811-a6d2-9cb6d0e28a40,FADNOUNE,60662,25.816667,8.183333,1291
e893e38a-701d-e811-a6d2-9cb6d0e28a40,MOULAY LAHCEN,60663,24.716667,4.65,1054
eb93e38a-701d-e811-a6d2-9cb6d0e28a40,BORDJ HAOUS,60664,24.833333,8.316667,1104
ee93e38a-701d-e811-a6d2-9cb6d0e28a40,TINALKOUN,60667,24.6,10.216667,719
d9ef3b91-701d-e811-a6d2-9cb6d0e28a40,DJANET,60670,24.266667,9.466667,970
dcef3b91-701d-e811-a6d2-9cb6d0e28a40,MERTOUTEK,60672,24.216667,5.533333,1343
dfef3b91-701d-e811-a6d2-9cb6d0e28a40,TADANTE,60673,23.033333,7.866667,1179
e2ef3b91-701d-e811-a6d2-9cb6d0e28a40,OUALLEN,60675,23.4,1,358
e5ef3b91-701d-e811-a6d2-9cb6d0e28a40,IN AZZANE,60676,23.483333,11.233333,912
e8ef3b91-701d-e811-a6d2-9cb6d0e28a40,AFARA,60677,25.333333,7.8,1240
ebef3b91-701d-e811-a6d2-9cb6d0e28a40,ASSEKREM,60679,23.266667,5.633333,2710
eeef3b91-701d-e811-a6d2-9cb6d0e28a40,TAMANRASSET,60680,22.8,5.433333,1377
f1ef3b91-701d-e811-a6d2-9cb6d0e28a40,TINTARABINE,60682,23.183333,6.766667,1105
f4ef3b91-701d-e811-a6d2-9cb6d0e28a40,BIDON 5,60685,22.316667,1.116667,392
8ce98d97-701d-e811-a6d2-9cb6d0e28a40,BORDJ-BADJ-MOKHTAR,60686,21.333333,NaN,399
8fe98d97-701d-e811-a6d2-9cb6d0e28a40,TIMIAOUINI,60689,20.416667,1.8,0
92e98d97-701d-e811-a6d2-9cb6d0e28a40,IN-GUEZZAM,60690,19.566667,5.766667,403
95e98d97-701d-e811-a6d2-9cb6d0e28a40,ANESBARAKA,60691,19.433333,4.65,477
98e98d97-701d-e811-a6d2-9cb6d0e28a40,IN GUEZZAM,60692,19.566667,5.75,401
9be98d97-701d-e811-a6d2-9cb6d0e28a40,IN ATEI,60693,20.566667,6.116667,471
9ee98d97-701d-e811-a6d2-9cb6d0e28a40,IN AZAOUA,60694,20.966667,7.45,517
a1e98d97-701d-e811-a6d2-9cb6d0e28a40,TIN ZAOUATENE,60695,19.966667,2.983333,0
